param_id,description,value
Serial_UART,シリアルUART (64-pin),3 channels (incl. LIN-bus support)
Serial_I2C,シリアルI2C (64-pin),6 channels (simplified I2C) + 1 I2C bus
DMA,DMAチャネル数,2 channels
Multiplier_Divider,乗算器/除算器,"16×16=32 bit, 32÷32=32 bit, 16×16+32=32 bit"
Key_Interrupt,キー割り込み (64-pin),8
External_Interrupt,外部割り込みソース (64-pin),13
Internal_Interrupt,内部割り込みソース (64-pin),27
Clock_Buzzer_Output,クロック/ブザー出力,2
VDD_Range,電源電圧範囲,"2.4 to 5.5 V (G-grade, TA=-40 to +105°C, HS mode)"
VDD_Range_Full,電源電圧範囲 (A/D-grade),"1.6 to 5.5 V (TA=-40 to +85°C)"
VDD_Abs_Max,電源電圧絶対最大定格,-0.5 to +6.5 V
EVDD_Abs_Max,EVDD絶対最大定格,-0.5 to +6.5 V
IDD_Active_32MHz,供給電流 (動作 fIH=32MHz),4.6 mA typ / 7.5 mA max
IDD_Active_16MHz,供給電流 (動作 fIH=16MHz),2.7 mA typ / 4.2 mA max
IDD_HALT_32MHz,供給電流 (HALT fIH=32MHz),0.54 mA typ / 2.90 mA max
IDD_HALT_16MHz,供給電流 (HALT fIH=16MHz),0.40 mA typ / 1.70 mA max
IDD_Subsystem_Normal_25C,供給電流 (サブシステムクロック動作 25°C),4.1 µA typ / 4.9 µA max
IDD_HALT_Subsystem_25C,供給電流 (HALT サブシステムクロック 25°C),0.30 µA typ / 0.57 µA max
IDD_STOP_25C,供給電流 (STOP 25°C),0.23 µA typ / 0.50 µA max
VIH1_CMOS,入力HIGH電圧 (CMOS I/O 通常),0.8 × EVDD0 min
VIL1_CMOS,入力LOW電圧 (CMOS I/O 通常),0.2 × EVDD0 max
VOH1,出力HIGH電圧 (4.0-5.5V IOH=-10mA),EVDD0 – 1.5 V min
VOL1,出力LOW電圧 (4.0-5.5V IOL=20mA),1.3 V max
IOH1_Per_Pin_Max,出力電流HIGH (ピンあたり絶対最大),-40 mA
IOL1_Per_Pin_Max,出力電流LOW (ピンあたり絶対最大),40 mA
IOH_Total_Abs_Max,出力電流HIGH (全ピン合計絶対最大),-170 mA
IOL_Total_Abs_Max,出力電流LOW (全ピン合計絶対最大),170 mA
Operating_Temp_Range,動作温度範囲,-40 to +105°C (G: Industrial)
Storage_Temp_Range,保存温度範囲,-65 to +150°C
Code_Flash_Rewrites,コードフラッシュ書き換え回数,"1,000 times (retained 20 years, TA=85°C)"
Data_Flash_Rewrites,データフラッシュ書き換え回数,"1,000,000 times typ (retained 1 year, TA=25°C)"
Data_Flash_Rewrites_5yr,データフラッシュ書き換え回数 (5年保持),"100,000 times (retained 5 years, TA=85°C)"
Flash_Programming_Voltage,フラッシュプログラミング電圧,1.8 to 5.5 V
POR_Voltage,パワーオンリセット電圧,1.51 V typ (rising) / 1.50 V typ (falling)
LVD_Rise_Voltage,LVD検出電圧 (立ち上がり),"2.61 to 4.06 V (G-grade, 8 levels)"
LVD_Fall_Voltage,LVD検出電圧 (立ち下がり),"2.55 to 3.98 V (G-grade, 8 levels)"
RAM_Data_Retention_Voltage,RAMデータ保持電圧,1.46 V min
Debug_Interface,デバッグインターフェース,On-chip debug function
Mounting_Type,実装タイプ,Surface Mount (LQFP)
